King's Valley 2: The Seal of El Giza	(MSX)
Knightmare	(C64)
Knightmare	(DOS)
Knightmare	(MSX)
Knightmare	(ZX)
Knightmare (1987)	(Amiga)
Knightmare (1991)	(Amiga)
Konami Krazy Racers	(GBA)
Lagrange Point	(NES)
Laser Invasion	(NES)
Legend of Mystical Ninja	(SNES)
Lethal Enforcers	(SMD)
Lethal Enforcers	(SNES)
Lethal Enforcers I & II	(PS1)
Lethal Enforcers II: Gun Fighters	(SMD)
Life Force	(NES)
Lone Ranger	(NES)
Magical Tree	(MSX)
Majou Densetsu II: The Maze of Galious	(NES)
Martial Champion	(TG16)
Maze of Galious - Knightmare II	(MSX)
Metal Gear	(DOS)
Metal Gear	(MSX)
Metal Gear	(NES)
Metal Gear 2: Solid Snake	(MSX)
Metal Gear Acid	(PSP)
Metal Gear Acid 2	(PSP)
Metal Gear Solid	(PS1)
Metal Gear Solid	(GBC)
Metal Gear Solid 2: Sons of Liberty	(PS2)
Metal Gear Solid 2: Substance	(PS2)
Metal Gear Solid 3: Snake Eater	(PS2)
Metal Gear Solid 3: Subsistence	(PS2)
Metal Gear Solid: Integral	(PS1)
Metal Gear Solid: Peace Walker	(PSP)
Metal Gear Solid: Portable Ops	(PSP)
Metal Gear Solid: Portable Ops Plus	(PSP)
Metal Gear Solid: The Twin Snakes	(GC)
Moai-Kun	(NES)
Moero Twinbee: Cinnamon Hakase wo Sukue!	(NES)
Monster in My Pocket	(NES)
MopiRanger	(MSX)
Mystical Ninja 2 Starring Goemon	(N64)
Mystical Ninja Starring Goemon	(GB)
Mystical Ninja Starring Goemon	(N64)
Neo Contra	(PS2)
New International Track & Field	(NDS)
Operation C	(GB)
Paro Wars	(PS1)
Parodius	(GB)
Parodius	(NES)
Parodius	(SS)
Parodius Da!	(TG16)
Parodius Portable	(PSP)
Parodius: Non-Sense Fantasy	(SNES)
Parodius: Tako wa Chikyuu o Sukuu	(MSX)
Penguin Adventure	(MSX)
Play Novel: Silent Hill	(GBA)
Policenauts	(3DO)
Pooyan	(C64)
Pooyan	(MSX)
Pooyan	(NES)
Pooyan New	(MSX)
Pop'n TwinBee	(GB)
Pop'n TwinBee	(SNES)
Pop'n TwinBee: Rainbow Bell Adventures	(SNES)
Poy Poy	(PS1)
Poy Poy 2	(PS1)
Rakugakids	(N64)
Road Fighter	(MSX)
Road Fighter	(NES)
Salamander	(C64)
Salamander	(MSX)
Salamander	(TG16)
Salamander	(ZX)
Salamander Deluxe Pack Plus	(PS1)
Salamander Deluxe Pack Plus	(SS)
Salamander Portable	(PSP)
Sexy Parodius	(PS1)
Sexy Parodius	(SS)
