Mr. Gimmick (NES)	
A Nightmare on Elm Street (NES)	
Prince of Persia (NES)	
Castlequest (NES)	
The Punisher (NES)	
Rollergames (NES)	
Rush'n Attack (NES)	
Final Mission (NES)	
Shatterhand (NES)	
Snake Rattle n Roll (NES)	
Street Fighter 2010: The Final Fight (NES)	
Super Mario Bros. 2 (NES)	
Super Mario Bros. 3 (NES)	
Super Spy Hunter (NES)	
Werewolf: The Last Warrior (NES)	
The Young Indiana Jones Chronicles (NES)	
The Immortal (NES)	
Blaster Master (NES)	
Ghosts 'n Goblins (NES)	
The Addams Family (NES)	
Teenage Mutant Hero Turtles (NES)	
Ninja Gaiden III: The Ancient Ship of Doom (NES)	
Mega Man Zero (GBA)	
Castlevania: Circle of the Moon (GBA)	
Contra Advance: The Alien Wars EX (GBA)	
Super Ghouls 'n Ghosts (GBA)	
Rayman Advance (GBA)	
Joe Blade (ZX)	
Joe Blade 3 (ZX)	
Adventures of Buratino (ZX)	
Saboteur! (ZX)	
Robocop (ZX)	
Ghosts 'n Goblins (Amiga)	
Spellbound Dizzy (Windows)	
