The Legend of Zelda: Twilight Princess HD	(Wii U)
The Legend of Zelda: Wind Waker HD	(Wii U)
The Legendary Starfy	(DS)
The Mysterious Murasame Castle	(FDS)
Ultimate NES Remix	(3DS)
Virtual Boy Wario Land	(VB)
Wario Blast: Featuring Bomberman!	(GB)
Wario Land 3	(GBC)
Wario Land 4	(GBA)
Wario Land II	(GBC)
Wario Land: Shake It!	(Wii)
Wario Land: Super Mario Land 3	(GB)
Wario World	(GC)
Wario: Master of Disguise	(DS)
WarioWare Gold	(3DS)
WarioWare, Inc.: Mega Microgame$!	(GBA)
WarioWare, Inc.: Mega Party Game$!	(GC)
WarioWare: D.I.Y.	(DS)
WarioWare: Smooth Moves 	(Wii)
WarioWare: Touched! 	(DS)
Wave Race 64	(N64)
Wave Race: Blue Storm	(GC)
Wrecking Crew	(NES)
Wrecking Crew '98	(SNES)
X	(GB)
Yoshi Touch & Go	(DS)
Yoshi's Islland DS	(DS)
Yoshi's New Island 	(3DS)
Yoshi's Woolly World	(Wii U)
Yume Kōjō: Doki Doki Panic	(FDS)
Zelda II: The Adventure of Link	(NES)
Zoda's Revenge: StarTropics II	(NES)
